X,Y,Z,ScaledValHard
71.0,56.0,4.0,0.10589849948883057
71.0,61.0,4.0,0.5547325015068054
71.0,66.0,4.0,0.2960219383239746
71.0,71.0,4.0,0.20329217612743378
71.0,76.0,4.0,0.17777776718139648
71.0,81.0,4.0,0.42030179500579834
71.0,86.0,4.0,0.4109739661216736
71.0,91.0,4.0,0.30233195424079895
71.0,96.0,4.0,0.16378602385520935
71.0,101.0,4.0,0.7596707940101624
71.0,106.0,4.0,0.745953381061554
71.0,111.0,4.0,0.743209958076477
71.0,116.0,4.0,0.7733882069587708
71.0,121.0,4.0,0.754183828830719
71.0,126.0,4.0,0.10507544875144958
76.0,1.0,4.0,0.4850480258464813
76.0,6.0,4.0,0.23127572238445282
76.0,11.0,4.0,0.2899862825870514
76.0,16.0,4.0,0.09355281293392181
76.0,21.0,4.0,0.13717421889305115
76.0,26.0,4.0,0.27983540296554565
76.0,31.0,4.0,0.7404664158821106
76.0,36.0,4.0,0.7404664158821106
76.0,41.0,4.0,0.6581618785858154
76.0,46.0,4.0,0.1358024775981903
76.0,51.0,4.0,0.08120714128017426
76.0,56.0,4.0,0.10507544875144958
76.0,61.0,4.0,0.22002743184566498
76.0,66.0,4.0,0.3412894308567047
76.0,71.0,4.0,0.350891649723053
76.0,76.0,4.0,0.4257887303829193
76.0,81.0,4.0,0.5934156775474548
76.0,86.0,4.0,0.18957476317882538
76.0,91.0,4.0,0.10809328407049179
76.0,96.0,4.0,0.16378602385520935
76.0,101.0,4.0,0.025240056216716766
76.0,106.0,4.0,0.7596707940101624
76.0,111.0,4.0,0.7267490029335022
76.0,116.0,4.0,0.38957473635673523
76.0,121.0,4.0,0.17448559403419495
76.0,126.0,4.0,0.18436214327812195
81.0,1.0,4.0,0.7761317491531372
81.0,6.0,4.0,0.8666666746139526
81.0,11.0,4.0,0.8556927442550659
81.0,16.0,4.0,0.09355281293392181
81.0,21.0,4.0,0.14814816415309906
81.0,26.0,4.0,0.06529492884874344
81.0,31.0,4.0,0.10480111092329025
81.0,36.0,4.0,0.7679012417793274
81.0,41.0,4.0,0.7733882069587708
81.0,46.0,4.0,0.7322359681129456
81.0,51.0,4.0,0.6993141770362854
81.0,56.0,4.0,0.4534979462623596
81.0,61.0,4.0,0.7185185551643372
81.0,66.0,4.0,0.6581618785858154
81.0,71.0,4.0,0.7404664158821106
81.0,76.0,4.0,0.22359395027160645
81.0,81.0,4.0,0.2587105631828308
81.0,86.0,4.0,0.5429355502128601
81.0,91.0,4.0,0.7267490029335022
81.0,96.0,4.0,0.6883402466773987
81.0,101.0,4.0,0.7651577591896057
81.0,106.0,4.0,0.1967078298330307
81.0,111.0,4.0,0.10891633480787277
81.0,116.0,4.0,0.19506172835826874
81.0,121.0,4.0,0.2043895721435547
81.0,126.0,4.0,0.2370370328426361
86.0,1.0,4.0,0.23045268654823303
86.0,6.0,4.0,0.3135802447795868
86.0,11.0,4.0,0.8776406645774841
86.0,16.0,4.0,0.8748971223831177
86.0,21.0,4.0,0.1506173014640808
86.0,26.0,4.0,0.25925925374031067
86.0,31.0,4.0,0.47736626863479614
86.0,36.0,4.0,0.2921810746192932
86.0,41.0,4.0,0.4620027244091034
86.0,46.0,4.0,0.7733882069587708
86.0,51.0,4.0,0.754183828830719
86.0,56.0,4.0,0.7322359681129456
86.0,61.0,4.0,0.5160493850708008
86.0,66.0,4.0,0.38902607560157776
86.0,71.0,4.0,0.644444465637207
86.0,76.0,4.0,0.5160493850708008
86.0,81.0,4.0,0.7212620377540588
86.0,86.0,4.0,0.7514403462409973
86.0,91.0,4.0,0.11440329998731613
86.0,96.0,4.0,0.10946502536535263
86.0,101.0,4.0,0.7761317491531372
86.0,106.0,4.0,0.7212620377540588
86.0,111.0,4.0,0.3766804039478302
86.0,116.0,4.0,0.1495199054479599
86.0,121.0,4.0,0.5102881193161011
86.0,126.0,4.0,0.29547324776649475
91.0,1.0,4.0,0.2792866826057434
91.0,6.0,4.0,0.24142661690711975
91.0,11.0,4.0,0.2241426557302475
91.0,16.0,4.0,0.8611797094345093
91.0,21.0,4.0,0.803566575050354
91.0,26.0,4.0,0.8227709531784058
91.0,31.0,4.0,0.3802469074726105
91.0,36.0,4.0,0.3783264756202698
91.0,41.0,4.0,0.35555556416511536
91.0,46.0,4.0,0.743209958076477
91.0,51.0,4.0,0.7322359681129456
91.0,56.0,4.0,0.7788751721382141
91.0,61.0,4.0,0.7925925850868225
91.0,66.0,4.0,0.30809327960014343
91.0,71.0,4.0,0.2603566646575928
91.0,76.0,4.0,0.7349794507026672
91.0,81.0,4.0,0.7596707940101624
91.0,86.0,4.0,0.07407408207654953
91.0,91.0,4.0,0.06913580745458603
91.0,96.0,4.0,0.06556928157806396
91.0,101.0,4.0,0.1632373183965683
91.0,106.0,4.0,0.7377229332923889
91.0,111.0,4.0,0.7349794507026672
91.0,116.0,4.0,0.2938271462917328
91.0,121.0,4.0,0.3026063144207001
91.0,126.0,4.0,0.18737995624542236
96.0,1.0,4.0,0.2921810746192932
96.0,6.0,4.0,0.17530862987041473
96.0,11.0,4.0,0.10068587213754654
96.0,16.0,4.0,0.18545953929424286
96.0,21.0,4.0,0.16652950644493103
96.0,26.0,4.0,0.7898491621017456
96.0,31.0,4.0,0.7486968040466309
96.0,36.0,4.0,0.6993141770362854
96.0,41.0,4.0,0.754183828830719
96.0,46.0,4.0,0.10123457759618759
96.0,51.0,4.0,0.10864198207855225
96.0,56.0,4.0,0.13196159899234772
96.0,61.0,4.0,0.7925925850868225
96.0,66.0,4.0,0.8200274705886841
96.0,71.0,4.0,0.8008230924606323
96.0,76.0,4.0,0.06666667014360428
96.0,81.0,4.0,0.3679012358188629
96.0,86.0,4.0,0.11193416267633438
96.0,91.0,4.0,0.020301783457398415
96.0,96.0,4.0,0.04060356691479683
96.0,101.0,4.0,0.1297668069601059
96.0,106.0,4.0,0.09300412237644196
96.0,111.0,4.0,0.7679012417793274
96.0,116.0,4.0,0.745953381061554
96.0,121.0,4.0,0.7212620377540588
96.0,126.0,4.0,0.13827161490917206
